F1,Avg Train Time,Avg Test Time,CLF,Feature Finder,Convert Grey,RootSIFT,PCA First,K Clusters,PCA Ratio,TF-IDF,Incremental Threshold
0.461333333333,3.06655845642,2.83758602142,SGDClassifier,ORB,True,False,True,100.0,0.5,False,20.0
0.46,3.19889879227,3.64027462006,SGDClassifier,ORB,False,True,True,25.0,0.5,False,20.0
0.46,4.23060917854,3.8693675518,PassiveAggressiveClassifier,ORB,False,True,True,100.0,0.75,True,25.0
0.46,3.50693235397,3.67924194336,BernoulliNB,ORB,True,True,True,50.0,0.5,False,15.0
0.46,4.11231918335,3.76602039337,PassiveAggressiveClassifier,ORB,False,True,True,100.0,0.75,True,15.0
0.46,5.23727021217,4.14420433044,Perceptron,ORB,False,True,True,200.0,0.75,True,25.0
0.46,4.55229172707,4.15398216248,SGDClassifier,ORB,False,True,True,200.0,0.5,True,5.0
0.46,3.22710499763,2.91594905853,BernoulliNB,ORB,False,False,True,100.0,1.0,False,15.0
0.46,4.72285199165,3.19886379242,SGDClassifier,ORB,False,False,True,200.0,1.0,False,25.0
0.46,3.03338422775,2.90197558403,BernoulliNB,ORB,False,False,True,100.0,0.5,True,20.0
0.46,2.58480019569,2.67809824944,PassiveAggressiveClassifier,ORB,True,False,True,25.0,1.0,False,25.0
0.46,3.08977665901,2.85375642776,SGDClassifier,ORB,True,False,True,100.0,0.75,True,20.0
0.46,3.24064540863,3.63758807182,SGDClassifier,ORB,True,True,True,25.0,0.75,False,10.0
0.46,3.13436398506,2.90215940475,SGDClassifier,ORB,False,False,True,100.0,0.5,True,15.0
0.458666666667,3.0674841404,2.89412941933,PassiveAggressiveClassifier,ORB,True,False,True,100.0,0.5,False,10.0
0.458666666667,3.45180702209,3.71677942276,BernoulliNB,ORB,False,True,True,50.0,1.0,False,20.0
0.458666666667,3.49984378815,2.90614681244,PassiveAggressiveClassifier,ORB,False,False,True,100.0,1.0,False,25.0
0.458666666667,4.33153805733,3.85260519981,PassiveAggressiveClassifier,ORB,True,True,True,100.0,1.0,True,25.0
0.458666666667,3.83224816322,3.74903717041,Perceptron,ORB,True,True,True,100.0,1.0,False,5.0
0.458666666667,4.6226295948,3.99966778755,PassiveAggressiveClassifier,ORB,True,True,True,200.0,0.25,False,10.0
0.458666666667,4.30986776352,3.14647598267,PassiveAggressiveClassifier,ORB,True,False,True,200.0,0.25,True,25.0
0.457333333333,3.44450602531,2.89060254097,PassiveAggressiveClassifier,ORB,False,False,True,100.0,0.75,False,25.0
0.457333333333,4.60106854439,3.20184736252,BernoulliNB,ORB,False,False,True,200.0,1.0,True,25.0
0.457333333333,4.18806200027,3.84853239059,PassiveAggressiveClassifier,ORB,False,True,True,100.0,1.0,True,25.0
0.457333333333,3.75001277924,3.70754394531,SGDClassifier,ORB,True,True,True,50.0,1.0,False,25.0
0.457333333333,3.41341614723,3.60202898979,BernoulliNB,ORB,True,True,True,25.0,0.5,False,15.0
0.457333333333,4.22623066902,3.18333802223,BernoulliNB,ORB,False,False,True,200.0,1.0,False,15.0
0.457333333333,4.82385621071,4.10349035263,SGDClassifier,ORB,False,True,True,200.0,0.25,False,15.0
0.457333333333,3.22153091431,2.91001935005,BernoulliNB,ORB,False,False,True,100.0,0.75,False,15.0
0.457333333333,2.70141243935,2.76822299957,BernoulliNB,ORB,False,False,True,50.0,1.0,False,10.0
0.457333333333,2.49075336456,2.70031557083,Perceptron,ORB,False,False,True,25.0,0.75,False,20.0
0.457333333333,4.73968234062,4.00041055679,SGDClassifier,ORB,True,True,True,200.0,0.5,True,20.0
0.457333333333,3.32331619263,2.89297780991,Perceptron,ORB,False,False,True,100.0,0.25,True,25.0
0.457333333333,3.88297762871,3.81429629326,SGDClassifier,ORB,True,True,True,100.0,0.75,True,20.0
0.456,2.77358260155,2.71122860909,SGDClassifier,ORB,False,False,True,50.0,0.25,False,25.0
0.456,2.56755905151,2.69137802124,BernoulliNB,ORB,True,False,True,25.0,0.75,False,25.0
0.456,3.52580518723,3.71471118927,PassiveAggressiveClassifier,ORB,False,True,True,50.0,1.0,False,10.0
0.456,2.21965022087,2.65924606323,BernoulliNB,ORB,True,False,True,25.0,0.25,False,20.0
0.456,4.69901561737,4.09300546646,BernoulliNB,ORB,True,True,True,200.0,0.5,True,20.0
0.456,3.35266599655,3.56524682045,SGDClassifier,ORB,True,True,True,25.0,0.25,False,5.0
0.456,5.22586112022,4.07012758255,PassiveAggressiveClassifier,ORB,True,True,True,200.0,0.5,False,25.0
0.456,2.96312122345,2.84361701012,SGDClassifier,ORB,True,False,True,100.0,0.25,True,10.0
0.456,4.17855863571,3.77272458076,BernoulliNB,ORB,True,True,True,100.0,1.0,False,25.0
0.456,3.02864336967,2.89857978821,SGDClassifier,ORB,True,False,True,100.0,0.75,False,20.0
0.454666666667,3.1707968235,2.89671401978,Perceptron,ORB,False,False,True,100.0,1.0,True,20.0
0.454666666667,4.04090719223,3.84684481621,Perceptron,ORB,True,True,True,100.0,1.0,False,15.0
0.454666666667,4.7932902813,4.01757836342,BernoulliNB,ORB,True,True,True,200.0,0.25,False,25.0
0.454666666667,3.09321680069,2.90012059212,Perceptron,ORB,True,False,True,100.0,0.75,False,10.0
0.454666666667,2.59944033623,2.72463579178,Perceptron,ORB,False,False,True,25.0,0.5,False,25.0
0.454666666667,4.69098958969,3.92311635017,Perceptron,ORB,False,True,True,100.0,1.0,True,25.0
0.454666666667,3.93138017654,3.78801803589,SGDClassifier,ORB,False,True,True,100.0,0.75,False,20.0
0.454666666667,4.21436114311,3.79754953384,BernoulliNB,ORB,True,True,True,100.0,1.0,True,25.0
0.454666666667,2.63764066696,2.75873360634,PassiveAggressiveClassifier,ORB,True,False,True,50.0,0.75,False,15.0
0.454666666667,2.69229383469,2.75948414803,BernoulliNB,ORB,False,False,True,50.0,1.0,True,20.0
0.453333333333,3.47657337189,3.71355438232,Perceptron,ORB,True,True,True,50.0,0.75,False,10.0
0.453333333333,3.93199567795,3.74278054237,SGDClassifier,ORB,True,True,True,100.0,1.0,False,15.0
0.453333333333,3.68616580963,3.7150988102,BernoulliNB,ORB,True,True,True,50.0,1.0,False,10.0
0.453333333333,3.80517058372,3.18848190308,PassiveAggressiveClassifier,ORB,False,False,True,200.0,1.0,False,5.0
0.453333333333,3.77298436165,3.16170244217,SGDClassifier,ORB,False,False,True,200.0,0.5,True,5.0
0.453333333333,5.23437099457,4.08014974594,Perceptron,ORB,False,True,True,200.0,0.5,True,25.0
